"","n","Coefficient","value","rescale"
"1","afg","a",-0.248232655398533,1.72443084197168
"2","afg","b",0.0467605860589359,1.72443084197168
"3","afg","c",-0.00219320308399551,1.72443084197168
"4","ago","a",-3.08555290596265,2.19835265230388
"5","ago","b",0.277593101556517,2.19835265230388
"6","ago","c",-0.00623575126763877,2.19835265230388
"7","alb","a",-0.110112911793731,1.2170238627919
"8","alb","b",0.0170965601476189,1.2170238627919
"9","alb","c",-0.000662994531536094,1.2170238627919
"10","are","a",-4.10346097844583,1.77067319843411
"11","are","b",0.308016446863002,1.77067319843411
"12","are","c",-0.00576724280811286,1.77067319843411
"13","arg","a",-2.35915237333825,3.41394780053462
"14","arg","b",0.262619607301343,3.41394780053462
"15","arg","c",-0.00730585533599118,3.41394780053462
"16","arm","a",-0.238423825066568,1.69900004298578
"17","arm","b",0.0505044363092011,1.69900004298578
"18","arm","c",-0.00265596100019061,1.69900004298578
"19","aus","a",-2.58066851093199,3.96972962173454
"20","aus","b",0.292506522204298,3.96972962173454
"21","aus","c",-0.00828634733657112,3.96972962173454
"22","aut","a",-0.251546335706269,1.81273074574145
"23","aut","b",0.0557018364750769,1.81273074574145
"24","aut","c",-0.00306288273243482,1.81273074574145
"25","aze","a",-0.313691150454118,1.52738305768619
"26","aze","b",0.0445471625869531,1.52738305768619
"27","aze","c",-0.00158104265629754,1.52738305768619
"28","bel","a",-0.320505217053889,2.17054585502539
"29","bel","b",0.0582366115582948,2.17054585502539
"30","bel","c",-0.00264093582802619,2.17054585502539
"31","ben","a",-3.71064081812271,1.79147433064716
"32","ben","b",0.289714414094698,1.79147433064716
"33","ben","c",-0.00564275494952885,1.79147433064716
"34","bfa","a",-3.98285346374989,1.74335431570449
"35","bfa","b",0.299930610874882,1.74335431570449
"36","bfa","c",-0.00563343074001765,1.74335431570449
"37","bgd","a",-3.35815220931287,2.15333488427209
"38","bgd","b",0.292030843300966,2.15333488427209
"39","bgd","c",-0.00634060194933599,2.15333488427209
"40","bgr","a",-0.202839923524876,1.65981703691043
"41","bgr","b",0.0335889461719126,1.65981703691043
"42","bgr","c",-0.0013880873665471,1.65981703691043
"43","bhr","a",-3.82007228230389,1.9042056383261
"44","bhr","b",0.303241312971586,1.9042056383261
"45","bhr","c",-0.00600694650086538,1.9042056383261
"46","bhs","a",-3.29633761236382,1.86640878627759
"47","bhs","b",0.27235756588705,1.86640878627759
"48","bhs","c",-0.00561498024612393,1.86640878627759
"49","bih","a",-0.211397694060558,1.71566275183282
"50","bih","b",0.03504536804904,1.71566275183282
"51","bih","c",-0.00145013868730382,1.71566275183282
"52","blr","a",-0.187457708138265,1.65869439790752
"53","blr","b",0.0497591505859862,1.65869439790752
"54","blr","c",-0.00325128064531943,1.65869439790752
"55","blz","a",-3.41734173150501,2.01362956325656
"56","blz","b",0.287871155769536,2.01362956325656
"57","blz","c",-0.00605296928156523,2.01362956325656
"58","bol","a",-21.315908964583,51.6315959171311
"59","bol","b",2.6953492069804,51.6315959171311
"60","bol","c",-0.0852051387733765,51.6315959171311
"61","bra","a",-2.97906927252439,2.13012826287542
"62","bra","b",0.267734810689951,2.13012826287542
"63","bra","c",-0.00600739766243184,2.13012826287542
"64","brb","a",-3.28563865920784,1.82308711091233
"65","brb","b",0.269102261458097,1.82308711091233
"66","brb","c",-0.00549867786216065,1.82308711091233
"67","btn","a",-3.33884300170671,4.65621931894141
"68","btn","b",0.370905258078447,4.65621931894141
"69","btn","c",-0.0102988425903817,4.65621931894141
"70","bwa","a",-3.23207442404603,2.7841662494136
"71","bwa","b",0.311545244726533,2.7841662494136
"72","bwa","c",-0.00750258448370994,2.7841662494136
"73","caf","a",-3.50380736275485,2.02851377248078
"74","caf","b",0.293664826320496,2.02851377248078
"75","caf","c",-0.00614381095265733,2.02851377248078
"76","can","a",-0.138562326443562,1.54754432368424
"77","can","b",0.0431778665183223,1.54754432368424
"78","can","c",-0.00326602479978609,1.54754432368424
"79","che","a",-0.228600516755408,1.75180940111729
"80","che","b",0.0539015933705356,1.75180940111729
"81","che","c",-0.00314825661588865,1.75180940111729
"82","chl","a",-0.0384720988382703,0.380258908819105
"83","chl","b",0.00582268738951675,0.380258908819105
"84","chl","c",-0.000220294240930179,0.380258908819105
"85","chn","a",-0.0797011703085671,0.975164827871227
"86","chn","b",0.0122257350879733,0.975164827871227
"87","chn","c",-0.000468288308391122,0.975164827871227
"88","civ","a",-3.39502034374562,1.81424435563982
"89","civ","b",0.274523037419102,1.81424435563982
"90","civ","c",-0.00553791906108756,1.81424435563982
"91","cmr","a",-3.06748928386134,2.09392431149161
"92","cmr","b",0.271450023627394,2.09392431149161
"93","cmr","c",-0.00599688991029449,2.09392431149161
"94","cod","a",-3.07783349119266,2.14226282153175
