"","n","Coefficient","value","rescale"
"1","afg","a",-0.268083750760678,1.80902540162243
"2","afg","b",0.0507379709412092,1.80902540162243
"3","afg","c",-0.00239243126527641,1.80902540162243
"4","ago","a",-2.86238899435438,2.11071448947995
"5","ago","b",0.258220886941341,2.11071448947995
"6","ago","c",-0.00581533976786727,2.11071448947995
"7","alb","a",-0.127357115115409,2.07474549716714
"8","alb","b",0.0198561366921341,2.07474549716714
"9","alb","c",-0.000773397757521386,2.07474549716714
"10","are","a",-3.91005835207497,1.73457687126571
"11","are","b",0.294184592964585,1.73457687126571
"12","are","c",-0.00551993465897182,1.73457687126571
"13","arg","a",-2.02040164228961,3.05686202104038
"14","arg","b",0.225649985272069,3.05686202104038
"15","arg","c",-0.00629718374673995,3.05686202104038
"16","arm","a",-0.253907820288612,1.76470020012169
"17","arm","b",0.0540577371006277,1.76470020012169
"18","arm","c",-0.00285981579240175,1.76470020012169
"19","aus","a",-2.1436182195174,3.45254530995197
"20","aus","b",0.24377766064082,3.45254530995197
"21","aus","c",-0.00692809292288164,3.45254530995197
"22","aut","a",-0.269038342028239,1.89194102186281
"23","aut","b",0.0598928768150292,1.89194102186281
"24","aut","c",-0.00331392339077609,1.89194102186281
"25","aze","a",-0.403177106630011,2.09828103494482
"26","aze","b",0.0574784391598895,2.09828103494482
"27","aze","c",-0.00204820510544512,2.09828103494482
"28","bel","a",-0.362369944994147,2.37415058874689
"29","bel","b",0.0661572492941846,2.37415058874689
"30","bel","c",-0.00301557400931766,2.37415058874689
"31","ben","a",-3.52662814609407,1.75233407428744
"32","ben","b",0.276015403573229,1.75233407428744
"33","ben","c",-0.00538779575677538,1.75233407428744
"34","bfa","a",-3.79821639791745,1.70910822534011
"35","bfa","b",0.286697990511114,1.70910822534011
"36","bfa","c",-0.00539634096486584,1.70910822534011
"37","bgd","a",-3.12851962597355,2.07386054731903
"38","bgd","b",0.272782631992492,2.07386054731903
"39","bgd","c",-0.00593724712792091,2.07386054731903
"40","bgr","a",-0.226242219942502,1.78735152175195
