"","n","Coefficient","value"
"1","afg","a",-0.0782365494244885
"2","afg","b",0.0126999999999999
"3","afg","c",-0.000487099999999999
"4","ago","a",-0.0340390818751555
"5","ago","b",0.0127
"6","ago","c",-0.000487099999999998
"7","alb","a",-0.0826394295842163
"8","alb","b",0.0127
"9","alb","c",-0.000487100000000003
"10","are","a",0.0257741084247781
"11","are","b",0.0127
"12","are","c",-0.0004871
"13","arg","a",-0.0691519613870321
"14","arg","b",0.0127
"15","arg","c",-0.000487100000000003
"16","arm","a",-0.0736858122881059
"17","arm","b",0.0127
"18","arm","c",-0.0004871
"19","aus","a",-0.0710773129150365
"20","aus","b",0.0127
"21","aus","c",-0.000487100000000001
"22","aut","a",-0.0720709943911565
"23","aut","b",0.0127
"24","aut","c",-0.000487100000000001
"25","aze","a",-0.0824659538778516
"26","aze","b",0.0127
"27","aze","c",-0.000487099999999998
"28","bel","a",-0.0798203230116986
"29","bel","b",0.0127
"30","bel","c",-0.000487100000000002
"31","ben","a",0.0103697211513232
"32","ben","b",0.0127000000000001
"33","ben","c",-0.000487100000000003
"34","bfa","a",0.0249254758172046
"35","bfa","b",0.0127000000000001
"36","bfa","c",-0.000487100000000002
"37","bgd","a",-0.0257146063801505
"38","bgd","b",0.0127
"39","bgd","c",-0.000487099999999998
"40","bgr","a",-0.0817649538931422
"41","bgr","b",0.0127
"42","bgr","c",-0.000487099999999998
"43","bhr","a",0.00314338728127096
"44","bhr","b",0.0127000000000002
"45","bhr","c",-0.000487100000000002
"46","bhs","a",-0.00930436049765982
"47","bhs","b",0.0127
"48","bhs","c",-0.0004871
"49","bih","a",-0.0817779083162875
"50","bih","b",0.0127
"51","bih","c",-0.000487100000000003
"52","blr","a",-0.0632454352826231
"53","blr","b",0.0127
"54","blr","c",-0.000487100000000002
"55","blz","a",-0.0162932547498912
"56","blz","b",0.0127
"57","blz","c",-0.000487099999999999
"58","bol","a",-0.0789714955638103
"59","bol","b",0.0127
"60","bol","c",-0.000487099999999995
"61","bra","a",-0.0334511808449852
"62","bra","b",0.0126999999999999
"63","bra","c",-0.000487099999999998
"64","brb","a",-0.00612662282881216
"65","brb","b",0.0127000000000001
"66","brb","c",-0.000487100000000003
"67","btn","a",-0.0695204085715256
"68","btn","b",0.0127
"69","btn","c",-0.000487100000000002
"70","bwa","a",-0.0495258594017305
"71","bwa","b",0.0127
"72","bwa","c",-0.000487099999999999
"73","caf","a",-0.0149763843829403
"74","caf","b",0.0127
"75","caf","c",-0.000487100000000001
"76","can","a",-0.054995802119102
"77","can","b",0.0127
"78","can","c",-0.000487100000000004
"79","che","a",-0.0691236856910995
"80","che","b",0.0127
"81","che","c",-0.000487100000000001
"82","chl","a",-0.0827792233659586
"83","chl","b",0.0127
"84","chl","c",-0.000487099999999998
"85","chn","a",-0.0826903646279326
"86","chn","b",0.0127
"87","chn","c",-0.000487100000000002
"88","civ","a",-0.00194181062729369
"89","civ","b",0.0127
"90","civ","c",-0.000487099999999999
"91","cmr","a",-0.0296432036467049
"92","cmr","b",0.0126999999999999
"93","cmr","c",-0.000487099999999997
"94","cod","a",-0.0317142728677395
"95","cod","b",0.0127
"96","cod","c",-0.000487099999999999
"97","cog","a",-0.01555286224697
"98","cog","b",0.0127
"99","cog","c",-0.0004871
"100","col","a",-0.0370441315243634
"101","col","b",0.0127000000000002
"102","col","c",-0.000487100000000007
"103","com","a",0.00143893726915632
"104","com","b",0.0126999999999998
"105","com","c",-0.000487099999999993
"106","cpv","a",-0.030255133240016
"107","cpv","b",0.0127
"108","cpv","c",-0.000487099999999999
"109","cri","a",0.00455540402459023
"110","cri","b",0.0127000000000001
"111","cri","c",-0.000487100000000002
"112","cyp","a",-0.0748281841028644
"113","cyp","b",0.0127
"114","cyp","c",-0.000487099999999999
"115","cze","a",-0.0734986445272327
"116","cze","b",0.0127
"117","cze","c",-0.0004871
"118","deu","a",-0.0749678230839226
"119","deu","b",0.0127
"120","deu","c",-0.000487099999999999
"121","dji","a",0.000261760034608846
"122","dji","b",0.0127
"123","dji","c",-0.000487099999999997
"124","dnk","a",-0.0714899097161095
"125","dnk","b",0.0127
"126","dnk","c",-0.000487100000000003
"127","dom","a",-0.0135079875828641
"128","dom","b",0.0126999999999999
"129","dom","c",-0.0004871
"130","dza","a",-0.071312444952223
"131","dza","b",0.0126999999999999
"132","dza","c",-0.000487099999999995
"133","ecu","a",-0.0544155441931508
"134","ecu","b",0.0127
"135","ecu","c",-0.0004871
"136","egy","a",-0.0476128924436161
"137","egy","b",0.0127
"138","egy","c",-0.000487100000000002
"139","esp","a",-0.0825269515634945
"140","esp","b",0.0127
"141","esp","c",-0.000487100000000003
"142","est","a",-0.0499884248056851
"143","est","b",0.0127
"144","est","c",-0.000487099999999997
"145","eth","a",-0.0554399150551533
"146","eth","b",0.0127000000000001
"147","eth","c",-0.000487100000000004
"148","fin","a",-0.0224708480045434
"149","fin","b",0.0127
"150","fin","c",-0.000487100000000002
"151","fra","a",-0.0813426485532842
"152","fra","b",0.0127
"153","fra","c",-0.000487100000000002
"154","gab","a",-0.0238023151718216
"155","gab","b",0.0126999999999999
"156","gab","c",-0.000487099999999996
"157","gbr","a",-0.0781116687524993
"158","gbr","b",0.0127
"159","gbr","c",-0.000487100000000002
"160","geo","a",-0.0720562283862763
"161","geo","b",0.0127
"162","geo","c",-0.0004871
"163","gha","a",0.00400937623578591
"164","gha","b",0.0126999999999999
"165","gha","c",-0.000487099999999999
"166","gmb","a",0.019969910794157
"167","gmb","b",0.0127000000000001
"168","gmb","c",-0.000487100000000003
"169","gnb","a",0.0126749287625256
"170","gnb","b",0.0127
"171","gnb","c",-0.000487099999999999
"172","gnq","a",-0.00430619138001316
"173","gnq","b",0.0127
"174","gnq","c",-0.0004871
"175","grc","a",-0.0823588728592217
"176","grc","b",0.0127
"177","grc","c",-0.000487100000000002
"178","gtm","a",-0.00947793568989335
"179","gtm","b",0.0127
"180","gtm","c",-0.000487099999999998
"181","guy","a",-0.00699617988699572
"182","guy","b",0.0127
"183","guy","c",-0.0004871
"184","hkg","a",-0.0513673580006346
"185","hkg","b",0.0127
"186","hkg","c",-0.000487100000000001
"187","hnd","a",-0.0103223544911898
"188","hnd","b",0.0127
"189","hnd","c",-0.000487100000000001
"190","hrv","a",-0.0811304260064181
"191","hrv","b",0.0127000000000001
"192","hrv","c",-0.000487100000000005
"193","hti","a",-0.0106395743087094
"194","hti","b",0.0127000000000001
"195","hti","c",-0.000487100000000003
"196","hun","a",-0.0813157435236308
"197","hun","b",0.0127
"198","hun","c",-0.000487100000000002
"199","idn","a",0.00319441110482513
"200","idn","b",0.0127
"201","idn","c",-0.0004871
"202","ind","a",-0.0104246717433818
"203","ind","b",0.0127000000000001
"204","ind","c",-0.000487100000000003
"205","irl","a",-0.0773387517730674
"206","irl","b",0.0127
"207","irl","c",-0.000487100000000002
"208","irn","a",-0.0792823232398613
"209","irn","b",0.0126999999999999
"210","irn","c",-0.0004871
"211","irq","a",-0.0527512834275571
"212","irq","b",0.0127
"213","irq","c",-0.000487099999999998
"214","isl","a",-0.00392318373339542
"215","isl","b",0.0127
"216","isl","c",-0.000487099999999999
"217","isr","a",-0.0657239591732503
"218","isr","b",0.0127
"219","isr","c",-0.000487099999999998
"220","ita","a",-0.0827273088528871
"221","ita","b",0.0126999999999999
"222","ita","c",-0.000487099999999996
"223","jam","a",0.0048723596498915
"224","jam","b",0.0127
"225","jam","c",-0.0004871
"226","jor","a",-0.065720865346957
"227","jor","b",0.0127000000000001
"228","jor","c",-0.000487100000000002
"229","jpn","a",-0.0826575904510601
"230","jpn","b",0.0127
"231","jpn","c",-0.000487100000000002
"232","kaz","a",-0.0736252629697957
"233","kaz","b",0.0127
"234","kaz","c",-0.000487099999999999
"235","ken","a",-0.042047774376204
"236","ken","b",0.0127
"237","ken","c",-0.000487099999999999
"238","kgz","a",-0.0596033452784279
"239","kgz","b",0.0127
"240","kgz","c",-0.000487100000000002
"241","khm","a",-0.00236684533255109
"242","khm","b",0.0127
"243","khm","c",-0.000487100000000002
"244","kor","a",-0.0826998334489889
"245","kor","b",0.0127
"246","kor","c",-0.000487099999999999
"247","kwt","a",-0.023862012075611
"248","kwt","b",0.0127
"249","kwt","c",-0.000487100000000001
"250","lbn","a",-0.0709514809363113
"251","lbn","b",0.0127
"252","lbn","c",-0.000487100000000002
"253","lca","a",-0.00471484213805733
"254","lca","b",0.0127000000000001
"255","lca","c",-0.000487100000000001
"256","lka","a",0.00866296989480761
"257","lka","b",0.0127
"258","lka","c",-0.0004871
"259","lso","a",-0.0824667315479177
"260","lso","b",0.0127
"261","lso","c",-0.0004871
"262","ltu","a",-0.0603981067920946
"263","ltu","b",0.0127
"264","ltu","c",-0.000487100000000003
"265","lux","a",-0.0776754203951247
"266","lux","b",0.0127
"267","lux","c",-0.0004871
"268","lva","a",-0.0604323751636232
"269","lva","b",0.0127
"270","lva","c",-0.0004871
"271","mar","a",-0.0705460302749246
"272","mar","b",0.0127
"273","mar","c",-0.0004871
"274","mda","a",-0.0816218468335611
"275","mda","b",0.0127
"276","mda","c",-0.000487099999999996
"277","mdg","a",-0.0428330277696679
"278","mdg","b",0.0127
"279","mdg","c",-0.000487099999999999
"280","mdv","a",0.0191917027582006
"281","mdv","b",0.0126999999999996
"282","mdv","c",-0.000487099999999992
"283","mex","a",-0.0647788874058497
"284","mex","b",0.0127
"285","mex","c",-0.0004871
"286","mkd","a",-0.0821474608452241
"287","mkd","b",0.0127
"288","mkd","c",-0.000487099999999999
"289","mli","a",0.0275453910504336
"290","mli","b",0.0127000000000001
"291","mli","c",-0.000487100000000002
"292","mlt","a",-0.0677857955419821
"293","mlt","b",0.0127
"294","mlt","c",-0.000487100000000002
"295","mmr","a",-0.0372566810462379
"296","mmr","b",0.0127
"297","mmr","c",-0.000487100000000002
"298","mne","a",-0.0823625610037165
"299","mne","b",0.0127000000000001
"300","mne","c",-0.000487100000000001
"301","mng","a",0.0108230174408896
"302","mng","b",0.0127
"303","mng","c",-0.000487099999999996
"304","moz","a",-0.0275240844677145
"305","moz","b",0.0127
"306","moz","c",-0.000487100000000002
"307","mrt","a",0.0389523651507643
"308","mrt","b",0.0127
"309","mrt","c",-0.0004871
"310","mus","a",-0.0247318356727671
"311","mus","b",0.0127
"312","mus","c",-0.000487099999999999
"313","mys","a",-0.0064627645029791
"314","mys","b",0.0127
"315","mys","c",-0.0004871
"316","nam","a",-0.0419456845866541
"317","nam","b",0.0127
"318","nam","c",-0.000487099999999999
"319","ner","a",0.0181276132553207
"320","ner","b",0.0126999999999999
"321","ner","c",-0.000487099999999996
"322","nga","a",-0.000936396300878977
"323","nga","b",0.0127
"324","nga","c",-0.000487100000000004
"325","nic","a",-0.0166284549766911
"326","nic","b",0.0127
"327","nic","c",-0.000487099999999997
"328","nld","a",-0.0786740455941737
"329","nld","b",0.0127
"330","nld","c",-0.000487100000000001
"331","nor","a",-0.0333372536553219
"332","nor","b",0.0127
"333","nor","c",-0.000487099999999995
"334","npl","a",-0.082779248629877
"335","npl","b",0.0127
"336","npl","c",-0.000487100000000001
"337","nzl","a",-0.0826106695691574
"338","nzl","b",0.0127
"339","nzl","c",-0.000487099999999996
"340","omn","a",0.0190247914957934
"341","omn","b",0.0127000000000001
"342","omn","c",-0.000487100000000002
"343","pak","a",-0.0519548028054997
"344","pak","b",0.0126999999999999
"345","pak","c",-0.000487099999999997
"346","pan","a",-0.00297703338088684
"347","pan","b",0.0126999999999999
"348","pan","c",-0.000487099999999999
"349","per","a",-0.0722775350624535
"350","per","b",0.0127000000000001
"351","per","c",-0.000487100000000002
"352","phl","a",0.00371512011102102
"353","phl","b",0.0127000000000001
"354","phl","c",-0.000487100000000001
"355","pol","a",-0.0729322228361835
"356","pol","b",0.0127
"357","pol","c",-0.0004871
"358","prt","a",-0.076111302670852
"359","prt","b",0.0127
"360","prt","c",-0.000487099999999998
"361","pry","a",-0.0280769654626038
"362","pry","b",0.0127
"363","pry","c",-0.000487099999999998
"364","qat","a",0.00740774006569412
"365","qat","b",0.0127
"366","qat","c",-0.000487100000000002
"367","rou","a",-0.0776372471518354
"368","rou","b",0.0127
"369","rou","c",-0.000487100000000003
"370","row","a",-0.0333729666536244
"371","row","b",0.0127
"372","row","c",-0.000487099999999998
"373","rus","a",-0.0421260996266088
"374","rus","b",0.0127
"375","rus","c",-0.000487100000000001
"376","rwa","a",-0.0516917422841767
"377","rwa","b",0.0127000000000001
"378","rwa","c",-0.000487100000000003
"379","sau","a",-0.0172923447655777
"380","sau","b",0.0127000000000001
"381","sau","c",-0.000487100000000002
"382","sdn","a",0.0255118662532258
"383","sdn","b",0.0127
"384","sdn","c",-0.000487100000000001
"385","sen","a",0.0179167467979245
"386","sen","b",0.0127000000000001
"387","sen","c",-0.000487100000000002
"388","sgp","a",0.00992695099261345
"389","sgp","b",0.0127000000000001
"390","sgp","c",-0.000487100000000002
"391","slb","a",0.0190353422083151
"392","slb","b",0.0126999999999999
"393","slb","c",-0.000487099999999998
"394","sle","a",-0.0135483644861092
"395","sle","b",0.0127000000000001
"396","sle","c",-0.000487100000000002
"397","slv","a",-0.00523079533249837
"398","slv","b",0.0126999999999999
"399","slv","c",-0.000487099999999997
"400","srb","a",-0.0802515531068654
"401","srb","b",0.0127
"402","srb","c",-0.000487100000000001
"403","stp","a",0.0148480354139896
"404","stp","b",0.0127
"405","stp","c",-0.0004871
