year,iso3,tag_name,value
1995,ARE,wealth,0.715125570118184
1996,ARE,wealth,0.766146167677884
1997,ARE,wealth,0.872367478618587
1998,ARE,wealth,0.945846436072805
1999,ARE,wealth,1.02795725631164
2000,ARE,wealth,1.1577902039892
2001,ARE,wealth,1.23508777948721
2002,ARE,wealth,1.27672523868677
2003,ARE,wealth,1.42644133822424
2004,ARE,wealth,1.64457594010876
2005,ARE,wealth,1.74880792278532
2006,ARE,wealth,2.01234143892149
2007,ARE,wealth,2.22129130437133
2008,ARE,wealth,2.2214421750493
2009,ARE,wealth,2.12736118604905
2010,ARE,wealth,2.21579221754705
2011,ARE,wealth,2.38612432942292
2012,ARE,wealth,2.54491516225442
2013,ARE,wealth,2.71699249823698
2014,ARE,wealth,2.85120385919924
2015,ARE,wealth,3.06178083199609
2016,ARE,wealth,3.19506176441679
2017,ARE,wealth,3.3536572292039
2018,ARE,wealth,3.47090972155426
2019,ARE,wealth,3.61816341469445
2020,ARE,wealth,3.41688138076316
2021,ARE,wealth,3.61724862877652
1995,AFG,wealth,0.0336143762362663
1996,AFG,wealth,0.0366427928493574
1997,AFG,wealth,0.0352409459983632
1998,AFG,wealth,0.0338460899329632
1999,AFG,wealth,0.0342062173455226
2000,AFG,wealth,0.0323912825918295
2001,AFG,wealth,0.0307636738034444
2002,AFG,wealth,0.0416268514874948
2003,AFG,wealth,0.0460423183548694
2004,AFG,wealth,0.0517621106536813
2005,AFG,wealth,0.0740618302972165
2006,AFG,wealth,0.101201799869613
2007,AFG,wealth,0.134078171770533
2008,AFG,wealth,0.142379366423512
2009,AFG,wealth,0.176724607074084
2010,AFG,wealth,0.205383231125876
2011,AFG,wealth,0.207756928981317
2012,AFG,wealth,0.236739353163957
2013,AFG,wealth,0.252149048219211
2014,AFG,wealth,0.260071361660945
2015,AFG,wealth,0.262819944151454
2016,AFG,wealth,0.27379551347021
2017,AFG,wealth,0.287981887788366
2018,AFG,wealth,0.29754387701167
2019,AFG,wealth,0.318309821577071
2020,AFG,wealth,0.317241372064584
2021,AFG,wealth,0.340418679313935
1995,ATG,wealth,-0.000158146197054017
1996,ATG,wealth,-0.000120570672018013
1997,ATG,wealth,-7.54166290882183e-05
1998,ATG,wealth,1.53153994167436e-05
1999,ATG,wealth,0.000108566939504345
2000,ATG,wealth,0.000177027110287647
2001,ATG,wealth,0.000176876611011834
2002,ATG,wealth,0.00015377360256791
2003,ATG,wealth,0.000189259184820588
2004,ATG,wealth,0.000271420123425719
2005,ATG,wealth,0.000497672068936122
2006,ATG,wealth,0.000739451541711863
2007,ATG,wealth,0.00083202081646201
2008,ATG,wealth,0.00078166547495421
2009,ATG,wealth,0.000464148054672169
2010,ATG,wealth,0.000463803459675819
2011,ATG,wealth,0.000479414342278655
2012,ATG,wealth,0.000492896997571447
2013,ATG,wealth,0.000418801777454756
2014,ATG,wealth,0.000519539704563886
2015,ATG,wealth,0.000638487452139325
2016,ATG,wealth,0.000738479733609791
2017,ATG,wealth,0.000843794500943674
2018,ATG,wealth,0.00101755927824149
2019,ATG,wealth,0.00118820483810744
2020,ATG,wealth,0.00101328703747406
2021,ATG,wealth,0.00108256988501979
1995,ALB,wealth,0.02885612679459
1996,ALB,wealth,0.0310309870014921
1997,ALB,wealth,0.0274171282584905
1998,ALB,wealth,0.0305949803663824
1999,ALB,wealth,0.0351235860488748
2000,ALB,wealth,0.0389427148315676
2001,ALB,wealth,0.0438411126362247
2002,ALB,wealth,0.0465246028796576
2003,ALB,wealth,0.0508645745315293
2004,ALB,wealth,0.0554424416642203
2005,ALB,wealth,0.0609239820036962
2006,ALB,wealth,0.0679067564850499
2007,ALB,wealth,0.0746466195440445
2008,ALB,wealth,0.0804308961307997
2009,ALB,wealth,0.0825047737430391
2010,ALB,wealth,0.0884648775681741
2011,ALB,wealth,0.0947654090162231
2012,ALB,wealth,0.0980228839635009
2013,ALB,wealth,0.10347676146487
2014,ALB,wealth,0.104928817975063
2015,ALB,wealth,0.10694964527471
2016,ALB,wealth,0.111706978641735
2017,ALB,wealth,0.115335542224345
2018,ALB,wealth,0.122793992165384
2019,ALB,wealth,0.128832178081546
