"iso","w_gr_prec_plus1sd_real","w_gr_prec_plus1sd_prec","w_gr_prec_minus1sd_real","w_gr_prec_minus1sd_prec","w_gr_prec_plus3sd_real","w_gr_prec_plus3sd_prec","w_gr_prec_minus3sd_real","w_gr_prec_minus3sd_prec"
"ALB",-0.0105000050570119,-0.0551869545859349,0.00208866496278202,-0.00962930016961187,-0.0567340354537251,-0.360009628024445,-0.0189680253943434,-0.223336664775476
"ARG",-0.00730661461952635,-0.0309669424986393,-0.00193434269210581,-0.00809377319978166,-0.0496427157934755,-0.210082974591181,-0.0335259000112139,-0.141463466694608
"AUS",-0.00722558076920525,-0.0219237519603319,-0.00144019299488724,-0.00335900022807042,-0.0476740635998932,-0.141619512446203,-0.0303179002769392,-0.0859252572494183
"AUT",-0.0111828839955774,-0.0343917350783449,0.00650658394468204,0.00740564802390715,-0.0475775521394183,-0.184133466398348,0.00549085168136009,-0.0587413170915916
"AZE",-0.00657841309439468,-0.0189001339167242,0.00199883587346364,0.00246246076127365,-0.0334739709459772,-0.106013421216524,-0.00774222404240226,-0.0419256371825308
"BLR",-0.0106058927587288,-0.0231939877583622,0.00618766343109099,0.00467100653910304,-0.0450723662591,-0.125150906932864,0.00530830231035944,-0.0415559240404682
"BEL",-0.0115743522692672,-0.0246063992750955,0.00811401115973084,0.00375614377960719,-0.0451040801364108,-0.136369964311751,0.0139610101505834,-0.0512823351476434
"BOL",-0.00553582590125617,-0.0229386283376334,-0.00444502087669065,-0.00919223525500714,-0.0465500180376089,-0.165208475790822,-0.0432776029639124,-0.123969296542943
"BIH",-0.0114791672773423,-0.0411127219179508,0.002851860220856,-0.000199677707003126,-0.0603194230014855,-0.247275364628714,-0.0173263405068908,-0.124536231995871
"BRA",-0.00596881227658099,-0.0221537612121265,-0.00516062262781323,-0.0309901166483313,-0.0512947415429256,-0.225892917217753,-0.0488701725966223,-0.252401983526367
"BGR",-0.01101572174807,-0.0307819746409886,0.00441046518103641,0.00137254520773525,-0.052862934945311,-0.180574212222726,-0.0065843741579916,-0.0841106526765544
"CAN",-0.00534413075674171,-0.0242376913265796,-0.000226939087549861,0.00826419595419672,-0.0327456018030998,-0.120633560096888,-0.0173940267955243,-0.0231278982545585
"CHL",-0.00765444601010746,-0.0567430013993829,-0.00306012204180437,-0.0057235031998932,-0.0551070421860579,-0.357628517995977,-0.0413240702811486,-0.204570023397508
"CHN",-0.00676204129977284,-0.0317036490960964,-0.003242040525068,-0.00624768932019812,-0.050298369373841,-0.208964962537173,-0.0397383670497265,-0.132597083209478
